school,school_setting,school_type,classroom,teaching_method,n_student,student_id,gender,lunch,pretest,posttest,school_encoded,school_setting_encoded,school_type_encoded,classroom_encoded,teaching_method_encoded,student_id_encoded,gender_encoded,lunch_encoded
ANKYI,Urban,Non-public,ZNS,Standard,21.0,LLQI3,Female,Does not qualify,59.0,69.0,0,2,0,96,1,1201,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,OCJE3,Female,Does not qualify,57.0,69.0,0,2,0,96,1,1369,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,OGW1F,Female,Does not qualify,60.0,68.0,0,2,0,96,1,1378,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,Q5QRY,Female,Does not qualify,61.0,71.0,0,2,0,96,1,1453,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,TJRIV,Female,Does not qualify,61.0,66.0,0,2,0,96,1,1654,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,U24U5,Female,Does not qualify,59.0,69.0,0,2,0,96,1,1684,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,VKX2N,Female,Does not qualify,62.0,72.0,0,2,0,96,1,1762,0,0
ANKYI,Urban,Non-public,ZNS,Standard,21.0,ZTROF,Male,Does not qualify,60.0,66.0,0,2,0,96,1,1977,1,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,1IALS,Female,Does not qualify,61.0,75.0,1,1,0,11,0,91,0,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,6DCTV,Female,Qualifies for reduced/free lunch,64.0,82.0,1,1,0,11,0,346,0,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,6OB0S,Male,Qualifies for reduced/free lunch,58.0,77.0,1,1,0,11,0,363,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,AITPY,Male,Does not qualify,65.0,87.0,1,1,0,11,0,568,1,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,B8B6G,Male,Does not qualify,65.0,80.0,1,1,0,11,0,613,1,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,C0UW3,Female,Qualifies for reduced/free lunch,62.0,75.0,1,1,0,11,0,670,0,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,CD1MB,Male,Qualifies for reduced/free lunch,58.0,73.0,1,1,0,11,0,687,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,F4ZHY,Male,Qualifies for reduced/free lunch,59.0,74.0,1,1,0,11,0,836,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,GT9F2,Male,Qualifies for reduced/free lunch,59.0,74.0,1,1,0,11,0,931,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,L5T1W,Male,Qualifies for reduced/free lunch,63.0,76.0,1,1,0,11,0,1180,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,MVXN3,Female,Does not qualify,63.0,78.0,1,1,0,11,0,1272,0,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,N7XOT,Male,Does not qualify,59.0,77.0,1,1,0,11,0,1298,1,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,NKP72,Male,Qualifies for reduced/free lunch,61.0,77.0,1,1,0,11,0,1317,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,QJVAM,Male,Qualifies for reduced/free lunch,55.0,72.0,1,1,0,11,0,1472,1,1
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,V6ZA8,Male,Does not qualify,66.0,83.0,1,1,0,11,0,1744,1,0
CCAAW,Suburban,Non-public,2B1,Experimental,18.0,YEJFP,Female,Does not qualify,68.0,79.0,1,1,0,11,0,1903,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,2RA1H,Female,Does not qualify,63.0,80.0,1,1,0,39,0,156,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,2U37U,Female,Qualifies for reduced/free lunch,63.0,83.0,1,1,0,39,0,160,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,30219,Male,Does not qualify,66.0,82.0,1,1,0,39,0,167,1,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,3RJO7,Female,Does not qualify,67.0,84.0,1,1,0,39,0,208,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,42OS6,Female,Qualifies for reduced/free lunch,67.0,83.0,1,1,0,39,0,226,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,7QNXG,Female,Qualifies for reduced/free lunch,70.0,91.0,1,1,0,39,0,424,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,8HMCH,Female,Qualifies for reduced/free lunch,74.0,85.0,1,1,0,39,0,473,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,8W6N8,Female,Does not qualify,64.0,83.0,1,1,0,39,0,492,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,BVGDA,Male,Qualifies for reduced/free lunch,62.0,78.0,1,1,0,39,0,655,1,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,CFICH,Female,Does not qualify,76.0,84.0,1,1,0,39,0,695,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,DTGZA,Female,Does not qualify,73.0,86.0,1,1,0,39,0,770,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,EEJ6S,Male,Does not qualify,65.0,87.0,1,1,0,39,0,796,1,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,JSYRI,Female,Does not qualify,66.0,79.0,1,1,0,39,0,1106,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,KGFXN,Female,Does not qualify,66.0,84.0,1,1,0,39,0,1151,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,KTSGX,Female,Does not qualify,66.0,82.0,1,1,0,39,0,1165,0,0
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,SAKZI,Female,Qualifies for reduced/free lunch,65.0,83.0,1,1,0,39,0,1589,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,XAHWJ,Female,Qualifies for reduced/free lunch,63.0,78.0,1,1,0,39,0,1847,0,1
CCAAW,Suburban,Non-public,EPS,Experimental,20.0,XP6HQ,Female,Qualifies for reduced/free lunch,68.0,84.0,1,1,0,39,0,1871,0,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,0ZAWS,Female,Does not qualify,65.0,79.0,1,1,0,49,0,56,0,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,4CE6S,Female,Does not qualify,70.0,83.0,1,1,0,49,0,236,0,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,DB15U,Female,Qualifies for reduced/free lunch,65.0,81.0,1,1,0,49,0,742,0,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,GFIP5,Female,Qualifies for reduced/free lunch,61.0,74.0,1,1,0,49,0,909,0,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,GJ8SE,Male,Qualifies for reduced/free lunch,63.0,77.0,1,1,0,49,0,916,1,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,GYLNC,Female,Does not qualify,62.0,82.0,1,1,0,49,0,942,0,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,H1H52,Male,Does not qualify,69.0,81.0,1,1,0,49,0,953,1,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,JPSF7,Male,Qualifies for reduced/free lunch,63.0,75.0,1,1,0,49,0,1098,1,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,KW69V,Male,Qualifies for reduced/free lunch,62.0,81.0,1,1,0,49,0,1169,1,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,MY8XT,Female,Qualifies for reduced/free lunch,63.0,77.0,1,1,0,49,0,1276,0,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,NKEK5,Male,Qualifies for reduced/free lunch,59.0,74.0,1,1,0,49,0,1316,1,1
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,PCELB,Male,Does not qualify,63.0,80.0,1,1,0,49,0,1416,1,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,VLKJU,Male,Does not qualify,66.0,76.0,1,1,0,49,0,1764,1,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,WI916,Female,Does not qualify,59.0,77.0,1,1,0,49,0,1809,0,0
CCAAW,Suburban,Non-public,IQN,Experimental,15.0,WO5E2,Male,Qualifies for reduced/free lunch,60.0,74.0,1,1,0,49,0,1818,1,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,0U8DI,Female,Qualifies for reduced/free lunch,68.0,76.0,1,1,0,64,1,43,0,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,18YOG,Male,Qualifies for reduced/free lunch,74.0,82.0,1,1,0,64,1,78,1,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,4YN68,Female,Qualifies for reduced/free lunch,63.0,73.0,1,1,0,64,1,279,0,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,905ZT,Female,Qualifies for reduced/free lunch,73.0,78.0,1,1,0,64,1,493,0,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,9WYVP,Male,Does not qualify,75.0,83.0,1,1,0,64,1,540,1,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,A1554,Female,Does not qualify,78.0,84.0,1,1,0,64,1,545,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,BWRTH,Female,Qualifies for reduced/free lunch,69.0,78.0,1,1,0,64,1,661,0,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,CNECS,Male,Qualifies for reduced/free lunch,73.0,81.0,1,1,0,64,1,706,1,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,I2TFD,Female,Does not qualify,73.0,80.0,1,1,0,64,1,1007,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,I4BNO,Female,Qualifies for reduced/free lunch,68.0,82.0,1,1,0,64,1,1010,0,1
CCAAW,Suburban,Non-public,PGK,Standard,21.0,IY6DQ,Female,Does not qualify,72.0,84.0,1,1,0,64,1,1054,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,LB8XY,Female,Does not qualify,73.0,80.0,1,1,0,64,1,1188,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,LHBRT,Male,Does not qualify,71.0,91.0,1,1,0,64,1,1193,1,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,NVH1O,Male,Does not qualify,73.0,80.0,1,1,0,64,1,1337,1,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,ODYMF,Female,Does not qualify,70.0,84.0,1,1,0,64,1,1373,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,QLX2Z,Female,Does not qualify,71.0,78.0,1,1,0,64,1,1476,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,QPPQJ,Male,Does not qualify,76.0,85.0,1,1,0,64,1,1485,1,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,ST8FC,Female,Does not qualify,72.0,83.0,1,1,0,64,1,1613,0,0
CCAAW,Suburban,Non-public,PGK,Standard,21.0,XTC1Q,Male,Does not qualify,71.0,83.0,1,1,0,64,1,1875,1,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,0MRJH,Female,Qualifies for reduced/free lunch,49.0,68.0,1,1,0,79,0,33,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,1RN82,Female,Does not qualify,55.0,70.0,1,1,0,79,0,113,0,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,24AN2,Female,Qualifies for reduced/free lunch,60.0,73.0,1,1,0,79,0,129,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,2XT73,Female,Qualifies for reduced/free lunch,59.0,73.0,1,1,0,79,0,165,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,6QNQ9,Female,Qualifies for reduced/free lunch,55.0,69.0,1,1,0,79,0,366,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,76O2H,Male,Does not qualify,55.0,71.0,1,1,0,79,0,397,1,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,EUUCT,Female,Does not qualify,56.0,74.0,1,1,0,79,0,819,0,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,FUCFP,Female,Qualifies for reduced/free lunch,53.0,69.0,1,1,0,79,0,871,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,G3L6V,Female,Qualifies for reduced/free lunch,48.0,70.0,1,1,0,79,0,891,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,I0XVJ,Female,Does not qualify,62.0,76.0,1,1,0,79,0,1002,0,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,IYNXL,Male,Does not qualify,58.0,75.0,1,1,0,79,0,1055,1,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,M5NZM,Female,Qualifies for reduced/free lunch,52.0,69.0,1,1,0,79,0,1227,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,PKG8H,Female,Does not qualify,59.0,67.0,1,1,0,79,0,1427,0,0
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,RM0W4,Female,Qualifies for reduced/free lunch,53.0,69.0,1,1,0,79,0,1544,0,1
CCAAW,Suburban,Non-public,UHU,Experimental,16.0,XWY2X,Female,Does not qualify,57.0,72.0,1,1,0,79,0,1878,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,0DLKI,Male,Does not qualify,68.0,76.0,1,1,0,80,1,21,1,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,1F817,Male,Does not qualify,67.0,80.0,1,1,0,80,1,87,1,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,1IK2C,Female,Qualifies for reduced/free lunch,67.0,76.0,1,1,0,80,1,93,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,1OFX7,Female,Does not qualify,66.0,82.0,1,1,0,80,1,103,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,21IQZ,Female,Does not qualify,58.0,72.0,1,1,0,80,1,125,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,5I0TO,Female,Does not qualify,61.0,70.0,1,1,0,80,1,309,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,5SQKW,Male,Does not qualify,63.0,75.0,1,1,0,80,1,321,1,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,7PLYH,Female,Does not qualify,68.0,77.0,1,1,0,80,1,421,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,8MLVH,Female,Qualifies for reduced/free lunch,61.0,76.0,1,1,0,80,1,479,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,CGX72,Female,Does not qualify,75.0,83.0,1,1,0,80,1,699,0,0
CCAAW,Suburban,Non-public,UWK,Standard,19.0,IBX0J,Female,Qualifies for reduced/free lunch,68.0,75.0,1,1,0,80,1,1022,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,JY21F,Female,Qualifies for reduced/free lunch,65.0,72.0,1,1,0,80,1,1114,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,L4B6P,Female,Qualifies for reduced/free lunch,65.0,77.0,1,1,0,80,1,1177,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,PYYX9,Female,Qualifies for reduced/free lunch,61.0,77.0,1,1,0,80,1,1449,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,QZI3R,Female,Qualifies for reduced/free lunch,62.0,69.0,1,1,0,80,1,1501,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,RYJH1,Male,Qualifies for reduced/free lunch,65.0,74.0,1,1,0,80,1,1561,1,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,TKWII,Female,Qualifies for reduced/free lunch,70.0,79.0,1,1,0,80,1,1655,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,X6ZCW,Female,Qualifies for reduced/free lunch,65.0,74.0,1,1,0,80,1,1842,0,1
CCAAW,Suburban,Non-public,UWK,Standard,19.0,ZDLQB,Female,Qualifies for reduced/free lunch,60.0,73.0,1,1,0,80,1,1955,0,1
CIMBB,Urban,Non-public,A33,Standard,19.0,0WW6N,Male,Does not qualify,60.0,67.0,2,2,0,27,1,52,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,5IKFU,Male,Does not qualify,62.0,70.0,2,2,0,27,1,310,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,7ODZ6,Male,Does not qualify,59.0,73.0,2,2,0,27,1,418,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,BD0UJ,Male,Does not qualify,62.0,72.0,2,2,0,27,1,625,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,F08JN,Male,Does not qualify,54.0,68.0,2,2,0,27,1,827,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,FRA61,Female,Does not qualify,58.0,66.0,2,2,0,27,1,865,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,FZVQF,Male,Does not qualify,58.0,66.0,2,2,0,27,1,883,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,GXVKS,Male,Does not qualify,60.0,69.0,2,2,0,27,1,939,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,IUX8B,Male,Does not qualify,68.0,78.0,2,2,0,27,1,1048,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,KL3L4,Female,Does not qualify,55.0,69.0,2,2,0,27,1,1158,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,NV5M7,Female,Does not qualify,61.0,71.0,2,2,0,27,1,1336,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,PBE3E,Female,Does not qualify,61.0,71.0,2,2,0,27,1,1413,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,QB9ZX,Male,Does not qualify,61.0,70.0,2,2,0,27,1,1460,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,SM22E,Male,Does not qualify,64.0,81.0,2,2,0,27,1,1603,1,0
CIMBB,Urban,Non-public,A33,Standard,19.0,U2O2E,Female,Does not qualify,61.0,72.0,2,2,0,27,1,1687,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,XGJ6Y,Female,Does not qualify,56.0,65.0,2,2,0,27,1,1856,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,Y0PR8,Female,Does not qualify,55.0,64.0,2,2,0,27,1,1880,0,0
CIMBB,Urban,Non-public,A33,Standard,19.0,YB3AW,Female,Does not qualify,65.0,71.0,2,2,0,27,1,1898,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,03T0E,Male,Does not qualify,64.0,76.0,2,2,0,37,1,2,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,13IGD,Male,Does not qualify,72.0,79.0,2,2,0,37,1,63,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,2BCEE,Female,Does not qualify,72.0,78.0,2,2,0,37,1,137,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,4RRBE,Male,Does not qualify,67.0,72.0,2,2,0,37,1,267,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,5RT1S,Male,Does not qualify,64.0,74.0,2,2,0,37,1,318,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,6MBC0,Female,Does not qualify,69.0,79.0,2,2,0,37,1,359,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,7T7C2,Male,Does not qualify,67.0,78.0,2,2,0,37,1,431,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,A90E3,Male,Does not qualify,70.0,76.0,2,2,0,37,1,557,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,C4WMS,Male,Does not qualify,64.0,77.0,2,2,0,37,1,677,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,DG5U0,Female,Does not qualify,64.0,75.0,2,2,0,37,1,750,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,H033K,Male,Does not qualify,69.0,78.0,2,2,0,37,1,948,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,HM7JY,Female,Does not qualify,70.0,82.0,2,2,0,37,1,984,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,IDT35,Male,Does not qualify,71.0,78.0,2,2,0,37,1,1026,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,J8ME6,Female,Does not qualify,67.0,80.0,2,2,0,37,1,1069,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,O9Z89,Female,Does not qualify,69.0,79.0,2,2,0,37,1,1363,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,RZB93,Male,Does not qualify,69.0,80.0,2,2,0,37,1,1566,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,THSH4,Male,Does not qualify,66.0,81.0,2,2,0,37,1,1651,1,0
CIMBB,Urban,Non-public,EID,Standard,21.0,TLZHB,Female,Does not qualify,64.0,78.0,2,2,0,37,1,1656,0,0
CIMBB,Urban,Non-public,EID,Standard,21.0,Z3KSE,Female,Does not qualify,65.0,76.0,2,2,0,37,1,1945,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,1FA55,Male,Does not qualify,64.0,88.0,2,2,0,46,0,88,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,3MV44,Male,Does not qualify,64.0,80.0,2,2,0,46,0,204,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,4LM4Y,Male,Does not qualify,73.0,81.0,2,2,0,46,0,251,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,792N5,Female,Does not qualify,66.0,83.0,2,2,0,46,0,401,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,8TW6G,Male,Does not qualify,56.0,78.0,2,2,0,46,0,489,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,9HA2N,Male,Does not qualify,67.0,87.0,2,2,0,46,0,520,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,B8EP0,Female,Does not qualify,62.0,82.0,2,2,0,46,0,614,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,BQ8E0,Female,Does not qualify,68.0,82.0,2,2,0,46,0,648,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,E25O4,Female,Does not qualify,69.0,84.0,2,2,0,46,0,782,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,IFRIJ,Female,Does not qualify,68.0,85.0,2,2,0,46,0,1029,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,IOQIU,Male,Does not qualify,63.0,82.0,2,2,0,46,0,1040,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,JGBZA,Female,Does not qualify,72.0,83.0,2,2,0,46,0,1078,0,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,JU9C5,Male,Does not qualify,70.0,82.0,2,2,0,46,0,1108,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,M0CLJ,Male,Does not qualify,68.0,87.0,2,2,0,46,0,1215,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,WY9TV,Male,Does not qualify,64.0,78.0,2,2,0,46,0,1830,1,0
CIMBB,Urban,Non-public,HUJ,Experimental,17.0,XKSFM,Male,Does not qualify,61.0,77.0,2,2,0,46,0,1865,1,0
CIMBB,Urban,Non-public,PC6,Standard,17.0,1C30U,Male,Does not qualify,70.0,78.0,2,2,0,62,1,82,1,0
CIMBB,Urban,Non-public,PC6,Standard,17.0,4XEXD,Female,Does not qualify,65.0,79.0,2,2,0,62,1,276,0,0
